Tamaño,Tiempo(segundos)
100,0.000000
500,0.002000
1000,0.001000
2000,0.002000
3000,0.004000
4000,0.003000
5000,0.005000
6000,0.008000
7000,0.011000
8000,0.015000
9000,0.018000
10000,0.021000
20000,0.091000
30000,0.198000
40000,0.356000
50000,0.541000
60000,0.780000
70000,1.049000
80000,1.410000
90000,1.784000
100000,2.144000
