Tamaño,Tiempo(segundos)
100,0.000000
500,0.001000
1000,0.001000
2000,0.001000
3000,0.003000
4000,0.004000
5000,0.002000
6000,0.003000
7000,0.003000
8000,0.005000
9000,0.006000
10000,0.007000
20000,0.028000
30000,0.065000
40000,0.116000
50000,0.183000
60000,0.271000
70000,0.367000
80000,0.474000
90000,0.604000
100000,0.746000
