Tamaño,Tiempo(segundos)
100,0.000000
500,0.002000
1000,0.002000
2000,0.006000
3000,0.007000
4000,0.013000
5000,0.021000
6000,0.033000
7000,0.045000
8000,0.061000
9000,0.082000
10000,0.105000
20000,0.473000
30000,1.086000
40000,1.953000
50000,3.065000
60000,4.561000
70000,6.117000
80000,7.941000
90000,10.363000
100000,12.483000
