Tamaño,Tiempo(segundos)
100,0.000000
500,0.000000
1000,0.000000
2000,0.000000
3000,0.000000
4000,0.000000
5000,0.001000
6000,0.001000
7000,0.001000
8000,0.000000
9000,0.001000
10000,0.001000
20000,0.001000
30000,0.001000
40000,0.003000
50000,0.004000
60000,0.005000
70000,0.006000
80000,0.007000
90000,0.009000
100000,0.009000
