Tamano,Tiempo(segundos)
100,0.000000
500,0.000000
1000,0.000000
2000,0.000000
3000,0.000000
4000,0.000000
5000,0.000000
6000,0.000000
7000,0.000000
8000,0.000000
9000,0.000000
10000,0.000000
20000,0.000000
30000,0.000000
40000,0.015623
50000,0.015618
60000,0.031241
70000,0.031215
80000,0.046863
90000,0.062485
100000,0.062485
