Tamano,Tiempo(segundos)
100,0.000000
500,0.000000
1000,0.000000
2000,0.000996
3000,0.001994
4000,0.002992
5000,0.003990
6000,0.003989
7000,0.003990
8000,0.004987
9000,0.005984
10000,0.006981
20000,0.014190
30000,0.021939
40000,0.029919
50000,0.037900
60000,0.044881
70000,0.052858
80000,0.060838
90000,0.068815
100000,0.076002
