Tamano,Tiempo(segundos)
100,0.000000
500,0.000000
1000,0.015594
2000,0.000000
3000,0.031270
4000,0.046863
5000,0.062486
6000,0.078108
7000,0.109350
8000,0.172359
9000,0.199007
10000,0.249942
20000,0.984414
30000,2.221776
40000,3.941458
50000,6.155620
60000,8.879462
70000,12.236486
80000,15.814286
90000,20.009229
100000,24.836363
