Tamano,Tiempo(segundos)
100,0.000000
500,0.000000
1000,0.000000
2000,0.015621
3000,0.015621
4000,0.015621
5000,0.031243
6000,0.046864
7000,0.078106
8000,0.078107
9000,0.109350
10000,0.140592
20000,0.532411
30000,1.171572
40000,2.094704
50000,3.264466
60000,4.756527
70000,6.569610
80000,8.614454
90000,10.744712
100000,13.195825
