Tamaño,Tiempo(segundos)
100,0.000068
500,0.000390
1000,0.001048
2000,0.002280
3000,0.003279
4000,0.004517
5000,0.006098
6000,0.007392
7000,0.009279
8000,0.011174
9000,0.013535
10000,0.016115
20000,0.037676
30000,0.072060
40000,0.105283
50000,0.159602
60000,0.216418
70000,0.281030
80000,0.339395
90000,0.439830
100000,0.541928
