Tamaño,Tiempo(segundos)
100,0.000163
500,0.004422
1000,0.018227
2000,0.075799
3000,0.171852
4000,0.301884
5000,0.483159
6000,0.681124
7000,0.938906
8000,1.177378
9000,1.537673
10000,1.873358
20000,7.665825
30000,17.997385
40000,34.225624
50000,47.432868
60000,70.886276
70000,103.219918
80000,138.274632
90000,168.105361
100000,200.901365
