Tamaño,Tiempo(segundos)
100,0.000183
500,0.000890
1000,0.003529
2000,0.005961
3000,0.011507
4000,0.021908
5000,0.033191
6000,0.020677
7000,0.031814
8000,0.036506
9000,0.054644
10000,0.044513
20000,0.081848
30000,0.129940
40000,0.195427
50000,0.260172
60000,0.276197
70000,0.323838
80000,0.390190
90000,0.459913
100000,0.501041
