Tamaño,Tiempo(segundos)
100,0.000174
500,0.005179
1000,0.021156
2000,0.084368
3000,0.211527
4000,0.382608
5000,0.562114
6000,0.788054
7000,1.144441
8000,1.563525
9000,1.812972
10000,2.265021
20000,8.839867
30000,18.952234
40000,32.044096
50000,50.705310
60000,81.345285
70000,107.021278
80000,137.252160
90000,172.466309
100000,209.684589
