Tamaño,Tiempo(segundos)
100,0.000199
500,0.000112
1000,0.000186
2000,0.000296
3000,0.000413
4000,0.000589
5000,0.000660
6000,0.000991
7000,0.001401
8000,0.001072
9000,0.001152
10000,0.001530
20000,0.002902
30000,0.029490
40000,0.006416
50000,0.006686
60000,0.013536
70000,0.014208
80000,0.030873
90000,0.020017
100000,0.024525
