Tamaño,Tiempo(segundos)
100,0.000670
500,0.001510
1000,0.001530
2000,0.003367
3000,0.006330
4000,0.007325
5000,0.009866
6000,0.011905
7000,0.014404
8000,0.016440
9000,0.020007
10000,0.021298
20000,0.047442
30000,0.072500
40000,0.100857
50000,0.124328
60000,0.155401
70000,0.187687
80000,0.224003
90000,0.246588
100000,0.276680
